,model_shape_id,gtfs_shape_id,LineID,operator,feed,service_id
454,115068,402-nb-Weekday,115068,3,ct,WEEKDAY
460,114997,113-sb-Weekday,114997,3,ct,WEEKDAY
461,115002,119-nb-Weekday,115002,3,ct,WEEKDAY
462,115034,106-nb-Weekday,115034,3,ct,WEEKDAY
463,115066,247-nb-Weekday,115066,3,ct,WEEKDAY
470,115053,424-nb-Weekday,115053,3,ct,WEEKDAY
476,115420,14SEP-Weekday-270277w-1,115420,3,ct,WEEKDAY
477,115421,14SEP-Weekday-402417n-19,115421,3,ct,WEEKDAY
501,115031,14SEP-Weekday-277w-0,115031,3,ct,WEEKDAY
502,115032,14SEP-Weekday-277w-1,115032,3,ct,WEEKDAY
535,115035,14SEP-Weekday-280e-10,115035,3,ct,WEEKDAY
536,115007,130-eb-Weekday,115007,3,ct,WEEKDAY
537,115051,421-nb-Weekday,115051,3,ct,WEEKDAY
583,114993,14SEP-Weekday-880s-2,114993,3,ct,WEEKDAY
584,114963,410-sb-Weekday,114963,3,ct,WEEKDAY
591,115052,422-nb-Weekday,115052,3,ct,WEEKDAY
592,115063,14SEP-Weekday-880n-4,115063,3,ct,WEEKDAY
593,115023,240-wb-Weekday,115023,3,ct,WEEKDAY
594,115025,14SEP-Weekday-270277e-22,115025,3,ct,WEEKDAY
618,115045,14SEP-Weekday-270w-5,115045,3,ct,WEEKDAY
619,115029,275-eb-Weekday,115029,3,ct,WEEKDAY
633,114968,110-eb-Weekday,114968,3,ct,WEEKDAY
634,114999,115-wb-Weekday,114999,3,ct,WEEKDAY
635,115054,425-nb-Weekday,115054,3,ct,WEEKDAY
